PLAYER,YEAR,POS,TEAM,CAP HIT,SALARY PERCENTAGE
Vladimir Tarasenko,2019,RW,STL,7500000,0.092
Ryan O'Reilly,2018,C,STL,7500000,0.095
Steven Stamkos,2015,C,TBL,7500000,0.106
Vladimir Tarasenko,2018,RW,STL,7500000,0.095
Steven Stamkos,2012,C,TBL,7500000,0.107
Ryan O'Reilly,2017,C,BUF,7500000,0.1
Aaron Ekblad,2017,D,FLA,7500000,0.1
Jason Spezza,2016,C,DAL,7500000,0.103
Pavel Datsyuk,2014,C,DET,7500000,0.114
Vladimir Tarasenko,2016,RW,STL,7500000,0.103
Aaron Ekblad,2020,D,FLA,7500000,0.092
Steven Stamkos,2014,C,TBL,7500000,0.109
Aaron Ekblad,2018,D,FLA,7500000,0.094
Aaron Ekblad,2019,D,FLA,7500000,0.092
Marian Gaborik,2011,RW,NYR,7500000,0.117
Patrik Laine,2021,RW,CBJ,7500000,0.092
Marian Gaborik,2012,RW,CBJ,7500000,0.107
Shea Weber,2011,D,NSH,7500000,0.117
Jason Spezza,2017,C,DAL,7500000,0.097
Dany Heatley,2013,LW,MIN,7500000,0.118
Ryan O'Reilly,2021,C,STL,7500000,0.092
Vladimir Tarasenko,2021,RW,STL,7500000,0.092
Jason Spezza,2015,C,DAL,7500000,0.105
Steven Stamkos,2013,C,TBL,7500000,0.117
Ryan O'Reilly,2016,C,BUF,7500000,0.103
Aaron Ekblad,2021,D,FLA,7500000,0.092
Vladimir Tarasenko,2017,RW,STL,7500000,0.1
Steven Stamkos,2011,C,TBL,7500000,0.117
Sergei Bobrovsky,2016,G,CBJ,7425000,0.102
Sergei Bobrovsky,2017,G,CBJ,7425000,0.099
Sergei Bobrovsky,2015,G,CBJ,7425000,0.104
Sergei Bobrovsky,2018,G,CBJ,7425000,0.093
Scott Gomez,2011,C,MTL,7357143,0.114
Mark Stone,2018,RW,VGK,7350000,0.094
Kris Letang,2021,D,PIT,7250000,0.089
Bobby Ryan,2017,RW,OTT,7250000,0.089
David Krejci,2018,C,BOS,7250000,0.092
Kris Letang,2016,D,PIT,7250000,0.099
Bobby Ryan,2015,RW,OTT,7250000,0.102
Bobby Ryan,2018,RW,OTT,7250000,0.091
Bobby Ryan,2019,RW,OTT,7250000,0.089
David Krejci,2016,C,BOS,7250000,0.099
Nico Hischier,2021,C,NJD,7250000,0.089
Kris Letang,2017,D,PIT,7250000,0.097
Nico Hischier,2020,C,NJD,7250000,0.089
Kris Letang,2020,D,PIT,7250000,0.089
Kris Letang,2015,D,PIT,7250000,0.102
David Krejci,2020,C,BOS,7250000,0.09
Bobby Ryan,2016,RW,OTT,7250000,0.099
Kris Letang,2019,D,PIT,7250000,0.089
Kris Letang,2018,D,PIT,7250000,0.091
David Krejci,2017,C,BOS,7250000,0.097
David Krejci,2015,C,BOS,7250000,0.103
Kris Letang,2014,D,PIT,7250000,0.105
David Krejci,2019,C,BOS,7250000,0.089
Clayton Keller,2020,C,AZ,7150000,0.088
Clayton Keller,2021,C,AZ,7150000,0.088
Brian Campbell,2012,D,FLA,7142875,0.102
Brian Campbell,2015,D,FLA,7142875,0.1
Brian Campbell,2011,D,FLA,7142875,0.111
Brian Campbell,2014,D,FLA,7142875,0.104
Brian Campbell,2013,D,FLA,7142875,0.111
Thomas Vanek,2012,LW,BUF,7142857,0.102
Kyle Connor,2020,LW,WPG,7142857,0.088
Kevin Hayes,2020,C,PHI,7142857,0.088
Kyle Connor,2019,LW,WPG,7142857,0.088
Kevin Hayes,2019,C,PHI,7142857,0.088
Kevin Hayes,2021,C,PHI,7142857,0.088
Thomas Vanek,2011,LW,BUF,7142857,0.111
Kyle Connor,2021,LW,WPG,7142857,0.088
Jarome Iginla,2011,RW,CGY,7000000,0.109
