,id,name,position,games,goals,assists
230,8480073,Erik Brannstrom,Defenseman,30.0,2.0,11.0
231,8480208,Drake Batherson,Forward,56.0,17.0,17.0
232,8480801,Brady Tkachuk,Forward,56.0,17.0,19.0
233,8480879,Jacob Bernard-Docker,Defenseman,5.0,0.0,0.0
234,8481596,Shane Pinto,Forward,12.0,1.0,6.0
235,8482116,Tim Stützle,Forward,53.0,12.0,17.0
236,8482245,Artem Zub,Defenseman,47.0,3.0,11.0
237,8469455,Jason Spezza,Forward,54.0,10.0,20.0
238,8473415,Alex Biega,Defenseman,13.0,0.0,3.0
239,8474162,Jake Muzzin,Defenseman,53.0,4.0,23.0
240,8474190,Wayne Simmonds,Forward,38.0,7.0,2.0
241,8474636,Michael Hutchinson,Goalie,8.0,0.0,0.0
242,8474673,TJ Brodie,Defenseman,56.0,1.0,13.0
243,8475166,John Tavares,Forward,56.0,19.0,31.0
244,8475718,Justin Holl,Defenseman,55.0,2.0,18.0
245,8475789,Jack Campbell,Goalie,22.0,0.0,0.0
246,8475852,Petr Mrazek,Goalie,12.0,0.0,0.0
247,8476545,Kurtis Gabriel,Forward,11.0,0.0,0.0
248,8476853,Morgan Rielly,Defenseman,55.0,5.0,30.0
249,8477021,Alexander Kerfoot,Forward,56.0,8.0,15.0
250,8477472,Carl Dahlstrom,Defenseman,,,
251,8477939,William Nylander,Forward,51.0,17.0,25.0
252,8477941,Nick Ritchie,Forward,56.0,15.0,11.0
253,8478020,Michael Amadio,Forward,25.0,0.0,3.0
254,8478047,Michael Bunting,Forward,21.0,10.0,3.0
255,8478115,Pierre Engvall,Forward,42.0,7.0,5.0
256,8478131,Ondrej Kase,Forward,3.0,0.0,0.0
257,8478408,Travis Dermott,Defenseman,51.0,2.0,4.0
258,8478483,Mitchell Marner,Forward,55.0,20.0,47.0
259,8478843,Denis Malgin,Forward,,,
260,8479318,Auston Matthews,Forward,52.0,41.0,25.0
261,8479361,Joseph Woll,Goalie,,,
262,8480144,David Kampf,Forward,56.0,1.0,11.0
263,8480439,Mac Hollowell,Defenseman,,,
264,8480873,Rasmus Sandin,Defenseman,9.0,0.0,4.0
265,8481624,Ilya Mikheyev,Forward,54.0,7.0,10.0
